tql1,,551878.24,337378.424,5.664
tql2,,551882.714,337374.078,5.619
tql3,,551888.429,337404.253,5.624
tql4,,551881.834,337406.626,5.81
tql5,,551893.85,337436.968,5.623
tql6,,551884.509,337438.692,5.717
tql7,,551898.386,337476.084,5.628
tql8,,551888.907,337479.048,5.84
tql9,,551892.66,337509.147,5.9
tql10,,551902.652,337506.168,5.669
tql11,,551895.42,337553.782,5.733
tql12,,551909.528,337554.799,5.426
tql13,,551914.776,337591.923,5.645
tql14,,551899.535,337596.019,5.666
tql15,,551903.113,337634.322,5.64
tql16,,551920.39,337634.486,5.521
tql17,,551911.107,337671.603,5.624
tql18,,551926.19,337682.949,5.679
tql19,,551921.041,337697.453,5.799
tql20,,551901.858,337713.09,5.768
tql21,,551892.333,337698.008,5.749
tql22,,551861.943,337701.307,5.751
tql23,,551861.264,337718.538,5.735
tql24,,551833.762,337719.384,5.665
tql25,,551828.149,337707.087,5.715
tql26,,551794.591,337712.996,5.693
tql27,,551791.869,337725.159,5.632
tql28,,551754.561,337719.575,5.628
tql29,,551743.675,337731.838,5.658
tql30,,551705.164,337723.17,5.768
tql31,,551690.233,337734.982,5.792
tql32,,551688.391,337732.931,5.763
tql33,,551686.595,337707.959,5.683
tql34,,551697.27,337702.987,5.698
tql35,,551682.872,337675.24,5.639
tql36,,551693.311,337669.285,5.538
tql37,,551688.696,337637.982,5.536
tql38,,551676.331,337637.085,5.583
tql39,,551670.023,337594.585,5.566
tql40,,551683.118,337591.096,5.56
tql41,,551679.451,337562.268,5.516
tql42,,551665.138,337562.497,5.351
tql43,,551660.128,337518.916,5.405
tql44,,551673.025,337517.064,5.452
tql45,,551672.98,337480.92,5.425
tql46,,551656.618,337480.48,5.45
tql47,,551649.647,337443.792,5.476
tql48,,551663.954,337439.919,5.578
tql49,,551662.66,337408.456,5.521
tql50,,551647.234,337408.471,5.456
tql51,,551644.051,337372.246,5.494
tql52,,551642.066,337361.365,5.507
tql53,,551654.491,337357.677,5.541
tql54,,551667.474,337356.134,5.468
tql55,,551690.608,337350.443,5.573
tql56,,551710.09,337343.253,5.525
tql57,,551723.44,337336.568,5.585
tql58,,551736.598,337331.765,5.314
tql59,,551756.116,337327.225,5.594
tql60,,551767.226,337339.759,5.732
tql61,,551791.91,337336.771,5.676
tql62,,551793.817,337322.504,5.588
tql63,,551827.35,337315.601,5.716
tql64,,551831.204,337326.902,5.736
tql65,,551857.484,337325.275,5.772
tql66,,551867.641,337308.77,5.653
tql67,,551876.158,337347.457,5.674
tql68,,551866.132,337350.318,5.745
tql69,,551845.041,337355.481,5.839
tql70,,551823.664,337359.105,5.776
tql71,,551800.664,337363.305,5.688
tql72,,551778.209,337368.522,5.704
tql73,,551757.783,337372.53,5.616
tql74,,551773.796,337390.268,5.634
tql75,,551726.478,337409.205,5.759
tql76,,551706.733,337429.052,5.662
tql77,,551694.664,337431.701,5.566
tql78,,551693.263,337461.912,5.621
tql79,,551711.539,337462.571,5.576
tql80,,551733.024,337457.726,5.611
tql81,,551751.654,337454.114,5.732
tql82,,551772.852,337450.653,5.617
tql83,,551795.477,337445.01,5.719
tql84,,551807.057,337443.688,5.653
tql85,,551825.913,337441.536,5.606
tql86,,551848.504,337439.53,5.74
tql87,,551852.263,337472.058,5.69
tql88,,551824.011,337476.066,5.58
tql89,,551807.781,337478.488,5.671
tql90,,551788.62,337480.859,5.682
tql91,,551761.412,337485.262,5.768
tql92,,551734.57,337489.335,5.788
tql93,,551705.548,337492.337,5.723
tql94,,551688.828,337492.682,5.674
tql95,,551694.925,337534.732,5.632
tql96,,551716.742,337533.965,5.78
tql97,,551743.183,337531.197,5.826
tql98,,551757.344,337529.001,5.711
tql99,,551783.927,337530.022,5.789
tql100,,551812.389,337529.114,5.708
tql101,,551832.755,337528.378,5.695
tql102,,551862.509,337528.955,5.759
tql103,,551882.606,337572.859,5.846
tql104,,551862.537,337576.146,5.813
tql105,,551832.455,337584.227,5.761
tql106,,551806.609,337588.758,5.786
tql107,,551786.249,337592.35,5.67
tql108,,551764.621,337594.645,5.781
tql109,,551741.643,337596.735,5.68
tql110,,551715.508,337600.217,5.661
tql111,,551716.08,337661.237,5.676
tql112,,551740.969,337661.348,5.629
tql113,,551761.535,337659.571,5.564
tql114,,551781.96,337657.125,5.575
tql115,,551802.906,337657.781,5.627
tql116,,551826.875,337654.865,5.789
tql117,,551846.378,337650.869,5.658
tql118,,551872.274,337648.277,5.712
tql119,,551896.983,337647.967,5.39
tql120,,551890.717,337671.331,5.648
tql121,,551868.211,337676.824,5.7
tql122,,551850.372,337680.683,5.639
tql123,,551825.754,337685.38,5.69
tql124,,551805.309,337689.887,5.569
tql125,,551787.57,337692.435,5.666
tql126,,551765.121,337696.557,5.579
tql127,,551741.652,337702.232,5.535
tql128,,551718.304,337705.364,5.61
