1,,551874.65,337351.872,5.065
2,,551872.123,337331.773,5.077
3,,551870.966,337318.37,4.867
4,,551843.507,337321.55,4.986
5,,551843.547,337321.6,5
6,,551826.388,337324.382,4.851
7,,551805.094,337328.595,4.95
8,,551792.064,337330.575,5.045
9,,551776.468,337332.625,5.094
10,,551759.877,337335.957,4.979
11,,551730.062,337344.307,4.894
12,,551737.378,337378.168,5.19
13,,551760.53,337374.439,5.016
14,,551789.747,337370.61,4.969
15,,551797.547,337369.216,4.903
16,,551813.88,337365.392,5.044
17,,551842.194,337359.634,5.167
18,,551854.727,337357.596,5.04
19,,551879.027,337384.656,5.002
20,,551849.009,337395.241,5.122
21,,551825.463,337399.667,5.117
22,,551794.242,337404.383,5.075
23,,551763.553,337409.216,5.052
24,,551739.036,337412.645,5.04
25,,551737.301,337454.387,4.698
26,,551751.637,337455.93,4.615
27,,551772.409,337458.609,4.678
28,,551790.944,337454.064,4.835
29,,551809.893,337448.4,5.141
30,,551835.281,337440.753,5.134
31,,551859.455,337428.731,5.141
32,,551874.443,337426.448,5.138
33,,551858.56,337468.948,5.13
34,,551829.475,337468.149,5.203
35,,551813.896,337469.185,4.916
36,,551801.908,337447.145,5.141
3,,551695.699,337403.978,4.968
4,,551683.255,337405.36,4.835
5,,551665.246,337408.597,4.73
6,,551709.363,337518.944,4.938
7,,551739.79,337596.91,5.103
8,,551753.637,337597.172,5.031
9,,551788.092,337614.549,5.242
10,,551797.541,337622.6,5.157
11,,551801.681,337646.436,4.876
12,,551856.313,337667.617,4.842
13,,551890.419,337679.536,4.743
14,,551890.449,337679.538,4.743
15,,551903.937,337631.061,4.686
16,,551904.808,337584.201,4.542
17,,551884.167,337545.336,4.647
18,,551896.383,337315.21,4.928
1,,551841.72,337517.264,5.204
2,,551796.324,337516.114,4.873
3,,551783.654,337519.224,4.867
4,,551766.72,337509.718,5.007
5,,551745.047,337515.74,5.035
6,,551736.884,337540.016,4.985
7,,551738.372,337556.517,4.947
8,,551728.327,337573.327,4.983
9,,551737.644,337586.917,5.083
10,,551743.855,337605.388,5.18
11,,551754.438,337621.346,5.026
12,,551768.761,337638.416,5.152
13,,551780.481,337649.364,5.181
14,,551799.96,337641.063,5.087
15,,551822.644,337635.996,5.105
16,,551826.957,337653.696,5.092
17,,551866.671,337659.403,5.092
18,,551891.428,337664.345,4.966
19,,551852.751,337633.222,5.265
20,,551851.955,337603.053,5.423
21,,551849.529,337571.336,5.316
22,,551801.764,337580.69,5.124
23,,551798.525,337552.711,5.027
24,,551798.583,337546.44,4.948
25,,551892.174,337330.013,5.555
